Accession,Year,historical_cluster,kmeans_cluster
ANM95765,2015,Other,6
ANM95786,2015,Other,6
AMB68724,2015,Other,6
AMB69850,2015,Other,6
APC58878,2016,Other,6
QDQ43652,2019,Other,3
ALM05831,2012,Other,9
APT37342,2016,Other,6
ASZ79550,2017,Other,8
APO18634,2016,Other,6
ASZ79538,2017,Other,8
AJK00907,2009,Other,5
AIU46488,2014,Other,0
APO18646,2016,Other,6
QEN96688,2019,Other,3
APW80549,2016,Other,6
ASZ79598,2017,Other,8
QFZ88363,2019,Other,3
AXB51597,2018,Other,8
ASZ79646,2017,Other,8
ATI22448,2017,Other,8
QFO38114,2019,Other,3
ATI22460,2017,Other,8
QGQ58256,2019,Other,3
AQI17199,2016,Other,6
QGQ58280,2019,Other,3
APB91144,2015,Other,6
QHA77769,2019,Other,3
ALA08474,2014,Other,0
ALA08574,2014,Other,0
AXF92961,2018,Other,8
QGQ58804,2019,Other,3
AXL27721,2018,Other,8
QGQ58816,2019,Other,3
ALE31997,2015,Other,6
ANE25723,2015,Other,6
ATI22472,2017,Other,8
AYW00415,2018,Other,8
ALN39662,2015,Other,6
QGQ58828,2019,Other,3
APF45800,2015,Other,6
AYW00487,2018,Other,8
APB90380,2014,Other,0
QGW43953,2019,Other,3
AZS63654,2018,Other,8
ATI22709,2017,Other,8
ATI22755,2017,Other,8
QHW14823,2019,Other,3
ATI22743,2017,Other,8
QAY27431,2018,Other,8
ALH36831,2015,Other,6
QBL91200,2018,Other,8
AUH29975,2017,Other,8
AUH31783,2017,Other,8
QAB03182,2018,Other,8
AUP49172,2017,Other,8
AZY31622,2018,Other,8
QBS18791,2019,Other,3
AXF92835,2017,Other,8
QCP66609,2019,Other,3
QDK57283,2019,Other,3
QDK57295,2019,Other,3
ADL39357,2009,Other,5
AJK01420,2009,Other,5
ABN51110,1969,HK68,11
ABS49899,1970,HK68,11
ABQ01366,1976,VI75,4
ABP49514,1968,HK68,11
ABN51099,1968,HK68,11
ABO33069,1978,TX77,4
ABP49492,1976,VI75,4
ABO52357,1968,HK68,11
ABN51121,1968,HK68,11
ABO52335,1974,EN72,4
ABN51132,1969,HK68,11
ABS49910,1970,HK68,11
ABO52346,1977,TX77,4
ABO52313,1975,VI75,4
ABR15797,1968,HK68,11
AQS35043,2017,Other,8
AQS35037,2017,Other,8
AQS35032,2017,Other,8
QFG34181,2018,Other,8
AQS35008,2017,Other,8
AQS35009,2017,Other,8
QFG34461,2018,Other,8
AQS35078,2017,Other,8
QFG34498,2018,Other,8
QFG34483,2018,Other,8
QFG34366,2018,Other,8
QFG34217,2018,Other,8
QFG34497,2018,Other,8
QFG34224,2018,Other,8
QFG34535,2018,Other,8
QFG34536,2018,Other,8
QFG34223,2018,Other,8
QFG34508,2018,Other,8
QFG34452,2018,Other,8
QFG34261,2018,Other,8
QFG34458,2018,Other,8
QFG34259,2018,Other,8
QFG34257,2018,Other,8
AQS35047,2016,Other,6
AQS35028,2016,Other,6
AQS35080,2016,Other,6
AQS35053,2016,Other,6
AQS35034,2016,Other,6
AQS35035,2016,Other,6
AQS35062,2016,Other,6
AQS35005,2016,Other,6
AQS35081,2016,Other,6
AQS35030,2016,Other,6
ASB31941,2016,Other,6
AGK63035,2012,Other,9
AGK62993,2012,Other,9
AGK63019,2012,Other,9
APC57889,1968,HK68,11
ARI68337,2014,Other,0
QDP69605,2007,Other,13
QJI55093,2015,Other,6
QJI55105,2015,Other,6
AFY06393,2007,Other,13
AGL58100,2004,Other,10
ACX55499,2006,Other,13
AHN96734,2013,Other,0
AHN96698,2013,Other,0
AHN97022,2013,Other,0
ADU20328,2008,Other,13
ALM05991,2012,Other,9
AFG99061,1977,TX77,4
AFG72173,1992,BE92,7
AJK03537,2008,Other,13
AJK02631,2010,Other,5
AJK02269,2007,Other,13
AJK01129,2007,Other,13
AJK02742,2010,Other,5
AJK03065,2010,Other,5
AJK01489,2010,Other,5
AJK03349,2010,Other,5
AJK00497,2007,Other,13
AJK03130,2007,Other,13
AJK03143,2007,Other,13
AJK02318,2007,Other,13
AJK00588,2007,Other,13
AJK00962,2007,Other,13
AJK02290,2007,Other,13
AJK01395,2007,Other,13
AJK01260,2007,Other,13
AJK00999,2009,Other,5
ALH25477,2015,Other,6
AGK74851,2011,Other,9
AQW36562,2017,Other,8
AQW36574,2017,Other,8
QBP38245,2019,Other,3
AGL07352,2011,Other,9
AIE09823,2013,Other,0
ACA33753,2007,Other,13
ARB17738,2017,Other,8
QBS19967,2019,Other,3
ALH37593,2015,Other,6
ACT67809,2009,Other,5
AJK00809,2010,Other,5
AGZ61669,2012,Other,9
ALH37606,2015,Other,6
ANM98559,2016,Other,6
ARB17750,2017,Other,8
QJD46746,2020,Other,3
ACA33766,2007,Other,13
AGK73616,2010,Other,5
ARQ86451,2017,Other,8
QCG83949,2019,Other,3
ANM95173,2015,Other,6
AXQ12436,2018,Other,8
QDE06354,2019,Other,3
AIE10076,2013,Other,0
AIE10074,2013,Other,0
ANM95197,2015,Other,6
ASB15826,2017,Other,8
QCG83981,2019,Other,3
ARQ86798,2017,Other,8
ARQ86810,2017,Other,8
ANM95231,2015,Other,6
ANM99015,2016,Other,6
AXQ12460,2018,Other,8
AWX41364,2014,Other,0
AOZ85232,2016,Other,6
ANE25568,2015,Other,6
ASK82071,2017,Other,8
ANM99075,2016,Other,6
QDQ43724,2019,Other,3
ASK82647,2017,Other,8
AXV43962,2018,Other,8
QEN96729,2019,Other,3
QED94993,2019,Other,3
AYN07999,2018,Other,8
AGL09735,2013,Other,0
ANM96921,2016,Other,6
ASM91146,2017,Other,8
QGQ58311,2019,Other,3
ASM91225,2017,Other,8
AXL27745,2018,Other,8
ASM91299,2017,Other,8
ASM91322,2017,Other,8
QGQ58852,2019,Other,3
ANM97923,2015,Other,6
ANM97935,2015,Other,6
QGQ58888,2019,Other,3
ALE31775,2014,Other,0
AZS63714,2018,Other,8
QFR38298,2018,Other,8
ASW33112,2017,Other,8
QBL91258,2018,Other,8
ALN39664,2015,Other,6
ATD51814,2017,Other,8
QAB01667,2018,Other,8
APF32049,2015,Other,6
APF45876,2016,Other,6
ANN02109,2016,Other,6
APF46458,2016,Other,6
ATP80519,2017,Other,8
APG55938,2016,Other,6
APG55940,2016,Other,6
APG55943,2016,Other,6
APG55946,2016,Other,6
ANM98499,2015,Other,6
APQ44568,2016,Other,6
ANM98511,2015,Other,6
ATX61197,2017,Other,8
APQ44648,2016,Other,6
APQ44650,2016,Other,6
QIJ26005,2019,Other,3
ASB34062,2016,Other,6
AOT90778,2016,Other,6
ANM98547,2015,Other,6
AOT91258,2016,Other,6
AUH29513,2017,Other,8
ATD11138,2017,Other,8
AUH29569,2017,Other,8
AOT89519,2016,Other,6
AUM85123,2017,Other,8
AXP19275,2018,Other,8
AUM62225,2016,Other,6
AXX75331,2018,Other,8
APC59441,2016,Other,6
QAB04132,2018,Other,8
QBA98326,2018,Other,8
APW81201,2016,Other,6
APW81213,2016,Other,6
QCQ19086,2019,Other,3
AGF68941,2012,Other,9
AGF68942,2012,Other,9
AGF68937,2012,Other,9
AGF68935,2012,Other,9
AXH80442,2017,Other,8
ALH27397,2014,Other,0
ALH34245,2015,Other,6
QBS20723,2019,Other,3
ANM98703,2016,Other,6
AQS20912,2017,Other,8
QBS20730,2019,Other,3
AGZ61183,2013,Other,0
APB89840,2015,Other,6
AGL06239,2011,Other,9
ALH25379,2015,Other,6
AQS20900,2017,Other,8
ALH25807,2015,Other,6
QCW13305,2019,Other,3
ALH35121,2015,Other,6
AMB69398,2015,Other,6
AGZ61178,2013,Other,0
ARB16993,2017,Other,8
QDX11499,2019,Other,3
AQS20947,2016,Other,6
ARO44128,2017,Other,8
ARS00617,2017,Other,8
ATX60592,2017,Other,8
QDX11518,2019,Other,3
QDQ43813,2019,Other,3
AUD10094,2017,Other,8
AUH30457,2017,Other,8
AUH30469,2017,Other,8
AUM85182,2017,Other,8
ATD11210,2017,Other,8
ATD11258,2017,Other,8
ATD11261,2017,Other,8
AXP19229,2018,Other,8
QAB03183,2018,Other,8
QDK57018,2019,Other,3
AEK28883,2009,Other,5
ARI68347,2013,Other,0
ABA26777,2004,Other,10
AFH34968,2011,Other,9
AFG99303,1989,BE89,1
AFG99259,1988,SI87,1
AFH00527,1997,SY97,12
AIW60691,1996,WU95,7
AIW60692,1996,WU95,7
AIW60689,1996,WU95,7
AIW60690,1996,WU95,7
ABU80177,2000,SY97,12
ABR28790,2000,SY97,12
ABS49965,2000,SY97,12
ABS49998,2000,SY97,12
ABU80320,2000,SY97,12
ABS50009,2000,SY97,12
ABS50020,2000,SY97,12
ABS50031,2000,SY97,12
ABR28823,2001,SY97,2
ABS50042,2001,SY97,2
ABR15929,2001,SY97,2
ABR28856,2002,FU02,2
ABR28867,2002,FU02,2
ABU80331,2002,FU02,2
ABR15940,2002,FU02,2
ABR28878,2002,FU02,2
ABR15962,2002,FU02,2
ABS50064,2002,FU02,2
ABR28889,2005,Other,10
ABR28922,2005,Other,10
ADJ84772,2009,Other,5
ADF83752,2009,Other,5
ADF83741,2009,Other,5
ADV76682,2009,Other,5
ADV76727,2009,Other,5
AEG65263,2003,FU02,2
AEG65593,2005,Other,10
AEG65538,2005,Other,10
AEG65296,2003,FU02,2
AEG65472,2005,Other,10
AIU46078,2005,Other,10
AIW60699,2005,Other,10
AIW60700,2005,Other,10
AIU46067,2003,FU02,2
AIU46051,2002,FU02,2
AFM72477,2006,Other,13
AEX33530,2004,Other,10
AEX34275,2007,Other,13
QCO72348,2018,Other,8
QCO72360,2018,Other,8
AXH80501,2018,Other,8
AXH80513,2018,Other,8
AJK01313,2010,Other,5
ARO84780,2017,Other,8
ARO84797,2017,Other,8
ARO84838,2017,Other,8
ARO84876,2017,Other,8
ARO84935,2017,Other,8
ARO84972,2017,Other,8
ARO84993,2017,Other,8
ARO85094,2017,Other,8
ARO85134,2017,Other,8
ARO85154,2017,Other,8
AQN74938,2015,Other,6
AQN75037,2014,Other,0
AQN74358,2015,Other,6
AXO65034,2017,Other,8
AXO65239,2017,Other,8
AXO64716,2017,Other,8
AXO64949,2017,Other,8
AXO64878,2018,Other,8
AXO65154,2018,Other,8
AXO65022,2018,Other,8
AXO64707,2018,Other,8
AXO65237,2018,Other,8
ABF21268,1979,BK79,4
AFH00714,1979,BK79,4
AFM68976,1979,BK79,4
AIU46046,1997,SY97,12
ALM05079,2009,Other,5
ALM05080,2010,Other,5
ALM05082,2011,Other,9
ALM05085,2011,Other,9
ALM05086,2011,Other,9
AJY79377,2014,Other,0
AJY79379,2014,Other,0
AJY79380,2014,Other,0
AJY79382,2014,Other,0
AJY79383,2014,Other,0
AJY79384,2014,Other,0
AJY79389,2014,Other,0
AJY79390,2014,Other,0
AJY79398,2015,Other,6
AJY79399,2015,Other,6
AJY79401,2015,Other,6
AJY79402,2015,Other,6
ARG44428,2012,Other,9
AJK03256,2007,Other,13
AJK00969,2010,Other,5
AJK01718,2009,Other,5
AJK00780,2010,Other,5
AJK03359,2007,Other,13
AJK02608,2009,Other,5
AJK00723,2009,Other,5
AJK01624,2010,Other,5
QED13103,2016,Other,6
QED13105,2016,Other,6
QED13118,2016,Other,6
QED13083,2016,Other,6
QED13087,2016,Other,6
QED13092,2016,Other,6
QED13096,2016,Other,6
QED13101,2016,Other,6
QED13121,2016,Other,6
QED13128,2016,Other,6
QED13145,2016,Other,6
QED13139,2016,Other,6
QED13158,2016,Other,6
QED13160,2016,Other,6
QED13186,2016,Other,6
QED12631,2017,Other,8
QED12678,2017,Other,8
QED12679,2017,Other,8
QED12686,2017,Other,8
QED12761,2017,Other,8
QED12766,2017,Other,8
QED12765,2017,Other,8
QED13086,2016,Other,6
QED13093,2016,Other,6
QED13116,2016,Other,6
QED13081,2016,Other,6
QED13094,2016,Other,6
QED13125,2016,Other,6
QED13129,2016,Other,6
QED13143,2016,Other,6
QED13140,2016,Other,6
QED13137,2016,Other,6
QED13136,2016,Other,6
QED13159,2016,Other,6
QED13170,2016,Other,6
QED13168,2016,Other,6
QED13163,2016,Other,6
QED13187,2016,Other,6
QED12647,2017,Other,8
QED12645,2017,Other,8
QED12666,2017,Other,8
QED12690,2017,Other,8
QED12695,2017,Other,8
QED12693,2017,Other,8
QED12700,2017,Other,8
QED12694,2017,Other,8
QED12703,2017,Other,8
QED12704,2017,Other,8
QED12708,2017,Other,8
QED12712,2017,Other,8
QED12725,2017,Other,8
QED12727,2017,Other,8
QED12740,2017,Other,8
QED12721,2017,Other,8
QED12750,2017,Other,8
QED12743,2017,Other,8
QED12746,2017,Other,8
QED12742,2017,Other,8
QED12753,2017,Other,8
QED12733,2017,Other,8
QED12734,2017,Other,8
QED12756,2017,Other,8
QED12768,2017,Other,8
QED12778,2017,Other,8
QED12771,2017,Other,8
QED12780,2017,Other,8
QED12784,2017,Other,8
QED12793,2017,Other,8
QED12794,2017,Other,8
QED12812,2017,Other,8
QED12813,2017,Other,8
QED12821,2017,Other,8
QED12824,2017,Other,8
QED12825,2017,Other,8
QED12833,2017,Other,8
QED12845,2017,Other,8
QED12855,2017,Other,8
QED12868,2017,Other,8
QED12865,2017,Other,8
QED12866,2017,Other,8
QED12872,2017,Other,8
QED12879,2017,Other,8
QED12883,2017,Other,8
QED12891,2017,Other,8
QED12888,2017,Other,8
QED12898,2017,Other,8
QED12901,2017,Other,8
QED12905,2017,Other,8
QED12906,2017,Other,8
QED12915,2017,Other,8
QED12917,2017,Other,8
QED12920,2017,Other,8
QED12924,2017,Other,8
QED12925,2017,Other,8
QED12926,2017,Other,8
QED12928,2017,Other,8
QED12930,2017,Other,8
QED12931,2017,Other,8
QED12935,2017,Other,8
QED12944,2017,Other,8
QED12947,2017,Other,8
QED12958,2017,Other,8
QED12959,2017,Other,8
QED12963,2017,Other,8
QED12962,2017,Other,8
QED12965,2017,Other,8
QED12976,2017,Other,8
QED12982,2017,Other,8
QED12984,2017,Other,8
QED12981,2017,Other,8
QED12996,2017,Other,8
QED12997,2017,Other,8
QED13003,2017,Other,8
QED13018,2017,Other,8
QED13020,2017,Other,8
QED13028,2017,Other,8
QED13029,2017,Other,8
QED13034,2017,Other,8
QED13036,2017,Other,8
QED13038,2017,Other,8
QED13039,2017,Other,8
QED13042,2017,Other,8
QED13046,2017,Other,8
QED13049,2017,Other,8
QED13052,2017,Other,8
QED13057,2017,Other,8
QED13058,2017,Other,8
QED13061,2017,Other,8
QED13069,2017,Other,8
QED13072,2017,Other,8
QED13073,2017,Other,8
QED12516,2016,Other,6
QED12520,2016,Other,6
QED12537,2017,Other,8
QED12540,2017,Other,8
QED12557,2017,Other,8
QED12567,2017,Other,8
QED12568,2017,Other,8
QED12570,2017,Other,8
QED12574,2017,Other,8
QED12586,2017,Other,8
QED12594,2017,Other,8
QED12599,2017,Other,8
QED12603,2017,Other,8
QED12609,2017,Other,8
QED12616,2017,Other,8
QED12618,2017,Other,8
QED12619,2017,Other,8
AJK02348,2010,Other,5
AJK03633,2010,Other,5
AJK01584,2009,Other,5
AJK02763,2010,Other,5
AJK02707,2011,Other,9
AJK00971,2011,Other,9
AJK03203,2007,Other,13
AFG99677,1992,BE92,7
AFG72096,1989,BE89,1
AFM71731,1989,BE89,1
AAB58297,1989,BE89,1
ABF21269,1989,BE89,1
ABB46392,1975,VI75,4
ASW34090,2017,Other,8
AUN86767,2016,Other,6
AUN86765,2016,Other,6
AUN86776,2016,Other,6
AUN86766,2016,Other,6
AUN86778,2016,Other,6
AOG30058,2014,Other,0
AUN86780,2016,Other,6
QCP66679,2019,Other,3
QCQ19133,2019,Other,3
QDK57341,2019,Other,3
AEK29015,2010,Other,5
AKH14632,2011,Other,9
AQN75023,2015,Other,6
AQN75110,2015,Other,6
ALM05067,2009,Other,5
AFG99138,1982,BK79,1
AFG71865,1968,HK68,11
AIU46019,1968,HK68,11
AFG99017,1976,VI75,4
AFG98962,1975,VI75,4
AFG98830,1971,HK68,11
AFG71964,1972,EN72,11
AFG98841,1971,HK68,11
AGB08343,1976,VI75,4
AIU46022,1976,VI75,4
AFG98973,1975,VI75,4
AFG71920,1970,HK68,11
AFG98984,1975,VI75,4
AFG98885,1973,EN72,11
AFG99072,1977,TX77,4
AFG72007,1975,VI75,4
AFG72040,1981,BK79,4
AFG99028,1976,VI75,4
AFG71996,1974,EN72,4
AFG98874,1973,EN72,11
AFG99039,1976,VI75,4
AFG98907,1974,EN72,4
AFG98918,1974,EN72,4
AFG71953,1972,EN72,11
AFG99006,1976,VI75,4
AFG71931,1971,HK68,11
AFG98929,1974,EN72,4
AFG71898,1969,HK68,11
AFG98940,1974,EN72,4
QDX47311,2016,Other,6
QIX11606,2017,Other,8
AEK29037,2010,Other,5
AJK01101,2010,Other,5
AJK00592,2009,Other,5
AJK02456,2010,Other,5
ARI68424,2013,Other,0
AJK03365,2009,Other,5
ACU80102,2008,Other,13
ADW23115,2009,Other,5
ACU80190,2008,Other,13
ACU80113,2008,Other,13
ACU80201,2008,Other,13
ACU80223,2008,Other,13
ACU80245,2008,Other,13
ACU80124,2008,Other,13
ACU80311,2008,Other,13
ACU80377,2008,Other,13
ACU80146,2008,Other,13
ACU80721,2008,Other,13
ACU80754,2008,Other,13
ACU80765,2008,Other,13
ACU80787,2008,Other,13
AEB71969,2009,Other,5
AEB71980,2009,Other,5
AFD98117,2011,Other,9
AFD98128,2011,Other,9
AFD98150,2011,Other,9
AFD98172,2011,Other,9
AFJ11706,2011,Other,9
AGG84179,2011,Other,9
AGV98990,2012,Other,9
AGV99002,2012,Other,9
AGV99049,2012,Other,9
AGV99061,2012,Other,9
AGV99073,2012,Other,9
AGV99097,2012,Other,9
AGV99109,2012,Other,9
AGV99157,2012,Other,9
AGV99193,2012,Other,9
AGV99205,2012,Other,9
AGW00113,2012,Other,9
AGW00185,2012,Other,9
AGW00757,2012,Other,9
AGW00841,2012,Other,9
AGW00853,2012,Other,9
AGW00877,2013,Other,0
AGW00889,2013,Other,0
AGW01295,2013,Other,0
AGW01319,2012,Other,9
AGW01331,2013,Other,0
AGW01379,2013,Other,0
AGW01403,2013,Other,0
AGW01451,2012,Other,9
AGW01487,2013,Other,0
AGW01511,2013,Other,0
AGW01523,2013,Other,0
AGW01535,2013,Other,0
AGW01607,2013,Other,0
AGW01643,2013,Other,0
AGW01667,2013,Other,0
AGW01725,2013,Other,0
AGW01845,2013,Other,0
AGW01965,2013,Other,0
AGW02049,2013,Other,0
AGW02121,2013,Other,0
AGW02145,2013,Other,0
AFD98259,2011,Other,9
AFQ32573,2011,Other,9
AFD98290,2011,Other,9
AGE89329,2011,Other,9
AFJ19842,2011,Other,9
AGE89392,2011,Other,9
AGE89719,2011,Other,9
AFD98351,2011,Other,9
AFD98362,2011,Other,9
AGE89751,2011,Other,9
AFD98395,2011,Other,9
AFD98460,2011,Other,9
AFD98428,2011,Other,9
AFD98449,2011,Other,9
AFD98481,2011,Other,9
AFD98503,2011,Other,9
AFD98569,2011,Other,9
AFR68173,2012,Other,9
AHL95104,2012,Other,9
AHL95116,2012,Other,9
AHL95260,2013,Other,0
AHL95343,2013,Other,0
AHL95394,2013,Other,0
AHL95470,2013,Other,0
AHL95518,2013,Other,0
AHL95554,2013,Other,0
AHL95566,2013,Other,0
AHL95578,2013,Other,0
AHL95590,2013,Other,0
AHL95626,2013,Other,0
AHL95662,2013,Other,0
AHL95674,2013,Other,0
AHL95782,2013,Other,0
AHL95794,2013,Other,0
AHL95806,2013,Other,0
AHL95925,2013,Other,0
AHL95937,2013,Other,0
AHL95949,2012,Other,9
AHL95997,2013,Other,0
AHL96009,2013,Other,0
AHL96092,2012,Other,9
AHL96104,2012,Other,9
AHL96140,2012,Other,9
AHL96164,2012,Other,9
AHL96200,2012,Other,9
AHL96236,2012,Other,9
AHL96248,2012,Other,9
AHL96354,2012,Other,9
AHL96366,2012,Other,9
AHL96402,2012,Other,9
AHL96438,2012,Other,9
AHL96557,2012,Other,9
AHL96569,2012,Other,9
AHL96592,2012,Other,9
AHL96628,2012,Other,9
AHL96652,2012,Other,9
AHL96736,2012,Other,9
AHL96760,2012,Other,9
AHL96772,2012,Other,9
AHL96796,2012,Other,9
AHL96976,2012,Other,9
AHL96988,2012,Other,9
AHL97060,2012,Other,9
AHL97120,2012,Other,9
AHL97132,2012,Other,9
AHL97228,2012,Other,9
AHL97252,2013,Other,0
AHL97288,2013,Other,0
AHL97360,2013,Other,0
AHL97372,2013,Other,0
AHL97432,2013,Other,0
AHL97517,2013,Other,0
AHL97577,2013,Other,0
AHL97589,2013,Other,0
AHL97649,2013,Other,0
AHL97673,2013,Other,0
AHL97781,2013,Other,0
AHL97805,2013,Other,0
AHL97925,2013,Other,0
AHL97997,2013,Other,0
AHL98021,2013,Other,0
AHL98081,2013,Other,0
AHL98295,2013,Other,0
AHL98426,2013,Other,0
AHL98626,2012,Other,9
AHL98662,2013,Other,0
AHL98794,2013,Other,0
AHL98806,2013,Other,0
AHL98866,2013,Other,0
AHL98890,2013,Other,0
AHL98902,2013,Other,0
AHL98949,2013,Other,0
AHL98973,2013,Other,0
AHL98985,2013,Other,0
AJK03013,2010,Other,5
AJK01413,2010,Other,5
AJK02276,2008,Other,13
AJK01631,2008,Other,13
AJK01053,2010,Other,5
AJK02837,2008,Other,13
ATV83194,2012,Other,9
QFQ14025,2018,Other,8
AIW60701,2007,Other,13
AIW60702,2007,Other,13
ACO95270,2007,Other,13
AJK01459,2008,Other,13
QFQ14037,2018,Other,8
ATV84604,2014,Other,0
ATV86092,2015,Other,6
ATV86913,2015,Other,6
QFQ14073,2018,Other,8
ATV86961,2015,Other,6
ATV89059,2016,Other,6
ATV86889,2015,Other,6
ATV89335,2016,Other,6
ATV89347,2016,Other,6
QFQ14085,2017,Other,8
QFQ14097,2018,Other,8
ATV89263,2016,Other,6
ATV86068,2015,Other,6
QFQ14133,2017,Other,8
QFQ14145,2018,Other,8
ATV86140,2015,Other,6
AJK01103,2010,Other,5
AFM72982,2010,Other,5
ATV83218,2012,Other,9
QFQ14157,2017,Other,8
QFQ13968,2017,Other,8
QFQ14169,2018,Other,8
QFQ14181,2017,Other,8
ATV86200,2015,Other,6
QFQ14193,2018,Other,8
QFQ14205,2018,Other,8
ATV86212,2015,Other,6
ATV85492,2015,Other,6
QFQ14217,2018,Other,8
AJK01531,2010,Other,5
ATV88747,2016,Other,6
ATV86224,2015,Other,6
QFQ14265,2017,Other,8
ATV86553,2015,Other,6
