Accession,Year,Subtype,Host,cluster_name,antigenic_distance,drift_binary_label
AGK74823,2011,H3N2,Human,PE09,11,1
ANE26010,2015,H3N2,Human,SW13,13,1
AXY84209,2018,H3N2,Human,HK14,14,1
QBS19914,2019,H3N2,Human,HK14,14,1
ANE26031,2015,H3N2,Human,SW13,13,1
ANE26115,2015,H3N2,Human,SW13,13,1
ARQ87082,2017,H3N2,Human,SW13,13,1
ANE26175,2015,H3N2,Human,SW13,13,1
ANE26199,2015,H3N2,Human,SW13,13,1
ANE26211,2015,H3N2,Human,SW13,13,1
AGK74417,2011,H3N2,Human,PE09,11,1
ASK81470,2017,H3N2,Human,SW13,13,1
ANE26247,2015,H3N2,Human,SW13,13,1
ALH37717,2015,H3N2,Human,SW13,13,1
ALH37729,2015,H3N2,Human,SW13,13,1
AIE09806,2013,H3N2,Human,VI11,12,1
ALH37775,2015,H3N2,Human,SW13,13,1
AMB67489,2015,H3N2,Human,SW13,13,1
AMB68393,2015,H3N2,Human,SW13,13,1
AGL06602,2012,H3N2,Human,VI11,12,1
ASK82217,2017,H3N2,Human,SW13,13,1
ANM95420,2015,H3N2,Human,SW13,13,1
ANM95444,2015,H3N2,Human,SW13,13,1
ANM95456,2015,H3N2,Human,SW13,13,1
AGL07106,2011,H3N2,Human,PE09,11,1
ALH37898,2015,H3N2,Human,SW13,13,1
ANM95492,2015,H3N2,Human,SW13,13,1
QDX11422,2019,H3N2,Human,HK14,14,1
AGL06697,2012,H3N2,Human,VI11,12,1
ANM95689,2015,H3N2,Human,SW13,13,1
AGL06447,2011,H3N2,Human,PE09,11,1
ASU07705,2017,H3N2,Human,SW13,13,1
AMB70626,2015,H3N2,Human,SW13,13,1
AMB70893,2015,H3N2,Human,SW13,13,1
AGZ61273,2012,H3N2,Human,VI11,12,1
AOZ85009,2016,H3N2,Human,SW13,13,1
ASU07681,2017,H3N2,Human,SW13,13,1
AMB70638,2015,H3N2,Human,SW13,13,1
AMB70941,2015,H3N2,Human,SW13,13,1
AGZ61231,2012,H3N2,Human,VI11,12,1
AGZ61246,2012,H3N2,Human,VI11,12,1
AOT89615,2016,H3N2,Human,SW13,13,1
AXB52577,2018,H3N2,Human,HK14,14,1
QDE06313,2019,H3N2,Human,HK14,14,1
APC60106,2015,H3N2,Human,SW13,13,1
QED94974,2019,H3N2,Human,HK14,14,1
APC60094,2015,H3N2,Human,SW13,13,1
AMB70733,2015,H3N2,Human,SW13,13,1
ANM95765,2015,H3N2,Human,SW13,13,1
ANM95786,2015,H3N2,Human,SW13,13,1
AMB68724,2015,H3N2,Human,SW13,13,1
AMB69850,2015,H3N2,Human,SW13,13,1
APC58878,2016,H3N2,Human,SW13,13,1
QDQ43652,2019,H3N2,Human,HK14,14,1
ALM05831,2012,H3N2,Human,VI11,12,1
APT37342,2016,H3N2,Human,SW13,13,1
ASZ79550,2017,H3N2,Human,SW13,13,1
APO18634,2016,H3N2,Human,SW13,13,1
ASZ79538,2017,H3N2,Human,SW13,13,1
AJK00907,2009,H3N2,Human,PE09,11,1
AIU46488,2014,H3N2,Human,VI11,12,1
APO18646,2016,H3N2,Human,SW13,13,1
QEN96688,2019,H3N2,Human,HK14,14,1
AGF44971,2012,H3N2,Human,VI11,12,1
APW80549,2016,H3N2,Human,SW13,13,1
ASZ79598,2017,H3N2,Human,SW13,13,1
QFZ88363,2019,H3N2,Human,HK14,14,1
AXB51597,2018,H3N2,Human,HK14,14,1
ASZ79646,2017,H3N2,Human,SW13,13,1
ATI22448,2017,H3N2,Human,SW13,13,1
QFO38114,2019,H3N2,Human,HK14,14,1
ATI22460,2017,H3N2,Human,SW13,13,1
QGQ58256,2019,H3N2,Human,HK14,14,1
AQI17199,2016,H3N2,Human,SW13,13,1
QGQ58280,2019,H3N2,Human,HK14,14,1
APB91144,2015,H3N2,Human,SW13,13,1
QHA77769,2019,H3N2,Human,HK14,14,1
ALA08474,2014,H3N2,Human,VI11,12,1
ALA08574,2014,H3N2,Human,VI11,12,1
AXF92961,2018,H3N2,Human,HK14,14,1
QGQ58804,2019,H3N2,Human,HK14,14,1
AXL27721,2018,H3N2,Human,HK14,14,1
QGQ58816,2019,H3N2,Human,HK14,14,1
ALE31997,2015,H3N2,Human,SW13,13,1
ANE25723,2015,H3N2,Human,SW13,13,1
ATI22472,2017,H3N2,Human,SW13,13,1
AYW00415,2018,H3N2,Human,HK14,14,1
ALN39662,2015,H3N2,Human,SW13,13,1
QGQ58828,2019,H3N2,Human,HK14,14,1
APF45800,2015,H3N2,Human,SW13,13,1
AYW00487,2018,H3N2,Human,HK14,14,1
APB90380,2014,H3N2,Human,VI11,12,1
QGW43953,2019,H3N2,Human,HK14,14,1
AZS63654,2018,H3N2,Human,HK14,14,1
ATI22709,2017,H3N2,Human,SW13,13,1
ATI22755,2017,H3N2,Human,SW13,13,1
QHW14823,2019,H3N2,Human,HK14,14,1
ATI22743,2017,H3N2,Human,SW13,13,1
QAY27431,2018,H3N2,Human,HK14,14,1
ALH36831,2015,H3N2,Human,SW13,13,1
QBL91200,2018,H3N2,Human,HK14,14,1
AUH29975,2017,H3N2,Human,SW13,13,1
AUH31783,2017,H3N2,Human,SW13,13,1
QAB03182,2018,H3N2,Human,HK14,14,1
AUP49172,2017,H3N2,Human,SW13,13,1
AZY31622,2018,H3N2,Human,HK14,14,1
QBS18791,2019,H3N2,Human,HK14,14,1
AXF92835,2017,H3N2,Human,SW13,13,1
QCP66609,2019,H3N2,Human,HK14,14,1
QDK57283,2019,H3N2,Human,HK14,14,1
QDK57295,2019,H3N2,Human,HK14,14,1
ADL39357,2009,H3N2,Human,PE09,11,1
AJK01420,2009,H3N2,Human,PE09,11,1
ABN51110,1969,H3N2,Human,HK68,0,0
ABS49899,1970,H3N2,Human,HK68,0,0
ABQ01366,1976,H3N2,Human,VI75,2,0
ABP49514,1968,H3N2,Human,HK68,0,0
ABN51099,1968,H3N2,Human,HK68,0,0
ABO33069,1978,H3N2,Human,TX77,3,0
ABP49492,1976,H3N2,Human,VI75,2,0
ABO52357,1968,H3N2,Human,HK68,0,0
ABN51121,1968,H3N2,Human,HK68,0,0
ABO52335,1974,H3N2,Human,EN72,1,0
ABN51132,1969,H3N2,Human,HK68,0,0
ABS49910,1970,H3N2,Human,HK68,0,0
ABO52346,1977,H3N2,Human,VI75,2,0
ABO52313,1975,H3N2,Human,EN72,1,0
ABR15797,1968,H3N2,Human,HK68,0,0
AFH53743,2010,H3N2,Human,PE09,11,1
AGW26970,2012,H3N2,Human,VI11,12,1
AQS35043,2017,H3N2,Human,SW13,13,1
AFH53744,2010,H3N2,Human,PE09,11,1
AGW26971,2012,H3N2,Human,VI11,12,1
AFH53745,2010,H3N2,Human,PE09,11,1
AGW26972,2012,H3N2,Human,VI11,12,1
AQS35037,2017,H3N2,Human,SW13,13,1
AFH53746,2011,H3N2,Human,PE09,11,1
AGW26973,2012,H3N2,Human,VI11,12,1
AQS35032,2017,H3N2,Human,SW13,13,1
QFG34181,2018,H3N2,Human,HK14,14,1
AFH53747,2011,H3N2,Human,PE09,11,1
AQS35008,2017,H3N2,Human,SW13,13,1
AFH53748,2011,H3N2,Human,PE09,11,1
AGW26975,2012,H3N2,Human,VI11,12,1
AQS35009,2017,H3N2,Human,SW13,13,1
QFG34461,2018,H3N2,Human,HK14,14,1
AFH53750,2011,H3N2,Human,PE09,11,1
AFH53751,2011,H3N2,Human,PE09,11,1
AQS35078,2017,H3N2,Human,SW13,13,1
AFH53752,2011,H3N2,Human,PE09,11,1
AFH53755,2011,H3N2,Human,PE09,11,1
AFH53756,2011,H3N2,Human,PE09,11,1
QFG34498,2018,H3N2,Human,HK14,14,1
AFH53757,2011,H3N2,Human,PE09,11,1
QFG34483,2018,H3N2,Human,HK14,14,1
AFH53759,2011,H3N2,Human,PE09,11,1
QFG34366,2018,H3N2,Human,HK14,14,1
AFH53760,2011,H3N2,Human,PE09,11,1
QFG34217,2018,H3N2,Human,HK14,14,1
AFH53761,2011,H3N2,Human,PE09,11,1
AFH53762,2011,H3N2,Human,PE09,11,1
QFG34497,2018,H3N2,Human,HK14,14,1
AGW26965,2011,H3N2,Human,PE09,11,1
AGW26987,2012,H3N2,Human,VI11,12,1
ACF94770,2007,H3N2,Human,FU02,10,1
ACF94769,2007,H3N2,Human,FU02,10,1
QFG34224,2018,H3N2,Human,HK14,14,1
QFG34535,2018,H3N2,Human,HK14,14,1
QFG34536,2018,H3N2,Human,HK14,14,1
QFG34223,2018,H3N2,Human,HK14,14,1
QFG34508,2018,H3N2,Human,HK14,14,1
QFG34452,2018,H3N2,Human,HK14,14,1
AGD98964,2012,H3N2,Human,VI11,12,1
AGD98965,2012,H3N2,Human,VI11,12,1
AGD98966,2012,H3N2,Human,VI11,12,1
AGD98967,2012,H3N2,Human,VI11,12,1
AGD98968,2012,H3N2,Human,VI11,12,1
AGD98969,2012,H3N2,Human,VI11,12,1
AGD98971,2012,H3N2,Human,VI11,12,1
QFG34261,2018,H3N2,Human,HK14,14,1
AGD98973,2012,H3N2,Human,VI11,12,1
AGD98975,2012,H3N2,Human,VI11,12,1
QFG34458,2018,H3N2,Human,HK14,14,1
QFG34259,2018,H3N2,Human,HK14,14,1
QFG34257,2018,H3N2,Human,HK14,14,1
AGD98981,2012,H3N2,Human,VI11,12,1
AGD98986,2012,H3N2,Human,VI11,12,1
AGD98987,2012,H3N2,Human,VI11,12,1
AGD98988,2012,H3N2,Human,VI11,12,1
AHB72726,2012,H3N2,Human,VI11,12,1
AHB72729,2013,H3N2,Human,VI11,12,1
AJM70919,2014,H3N2,Human,VI11,12,1
AJM70920,2014,H3N2,Human,VI11,12,1
AJM70921,2014,H3N2,Human,VI11,12,1
AJM70922,2014,H3N2,Human,VI11,12,1
AJM70924,2014,H3N2,Human,VI11,12,1
AJM70925,2014,H3N2,Human,VI11,12,1
AJM70926,2014,H3N2,Human,VI11,12,1
AJM70927,2014,H3N2,Human,VI11,12,1
AJM70928,2014,H3N2,Human,VI11,12,1
AJM70929,2014,H3N2,Human,VI11,12,1
AJM70930,2014,H3N2,Human,VI11,12,1
AJM70931,2014,H3N2,Human,VI11,12,1
AJM70932,2014,H3N2,Human,VI11,12,1
AJM70933,2014,H3N2,Human,VI11,12,1
AJM70935,2014,H3N2,Human,VI11,12,1
AJM70936,2014,H3N2,Human,VI11,12,1
ACF94742,2007,H3N2,Human,FU02,10,1
AJM70939,2014,H3N2,Human,VI11,12,1
AJM70940,2014,H3N2,Human,VI11,12,1
AJM70941,2014,H3N2,Human,VI11,12,1
AJM70942,2014,H3N2,Human,VI11,12,1
AJM70943,2014,H3N2,Human,VI11,12,1
AJM70946,2014,H3N2,Human,VI11,12,1
AJM70947,2014,H3N2,Human,VI11,12,1
AJM70950,2014,H3N2,Human,VI11,12,1
AJM70951,2014,H3N2,Human,VI11,12,1
AJM70952,2014,H3N2,Human,VI11,12,1
AJM70955,2014,H3N2,Human,VI11,12,1
AJM70956,2014,H3N2,Human,VI11,12,1
AJM70957,2014,H3N2,Human,VI11,12,1
AJM70959,2014,H3N2,Human,VI11,12,1
AJM70961,2014,H3N2,Human,VI11,12,1
AQS35047,2016,H3N2,Human,SW13,13,1
AJM70964,2014,H3N2,Human,VI11,12,1
AQS35028,2016,H3N2,Human,SW13,13,1
AQS35080,2016,H3N2,Human,SW13,13,1
AJM70969,2014,H3N2,Human,VI11,12,1
AJM70972,2014,H3N2,Human,VI11,12,1
AJM70974,2014,H3N2,Human,VI11,12,1
AQS35053,2016,H3N2,Human,SW13,13,1
AJM70976,2014,H3N2,Human,VI11,12,1
AJM70977,2014,H3N2,Human,VI11,12,1
AQS35050,2016,H3N2,Human,SW13,13,1
AJY54129,2014,H3N2,Human,VI11,12,1
AJM70980,2014,H3N2,Human,VI11,12,1
AJM70983,2014,H3N2,Human,VI11,12,1
AQS35034,2016,H3N2,Human,SW13,13,1
AQS35035,2016,H3N2,Human,SW13,13,1
AHB72743,2013,H3N2,Human,VI11,12,1
AQS35062,2016,H3N2,Human,SW13,13,1
AHB72730,2013,H3N2,Human,VI11,12,1
AQS35051,2016,H3N2,Human,SW13,13,1
AQS35005,2016,H3N2,Human,SW13,13,1
AQS35081,2016,H3N2,Human,SW13,13,1
AQS35052,2016,H3N2,Human,SW13,13,1
AQS35030,2016,H3N2,Human,SW13,13,1
AHB72748,2013,H3N2,Human,VI11,12,1
AHB72731,2013,H3N2,Human,VI11,12,1
AHB72759,2013,H3N2,Human,VI11,12,1
AHB72760,2013,H3N2,Human,VI11,12,1
AHB72761,2013,H3N2,Human,VI11,12,1
AHB72733,2013,H3N2,Human,VI11,12,1
AJY54130,2014,H3N2,Human,VI11,12,1
AHB72734,2013,H3N2,Human,VI11,12,1
ASB31941,2016,H3N2,Human,SW13,13,1
AJM70885,2014,H3N2,Human,VI11,12,1
AJM70886,2014,H3N2,Human,VI11,12,1
AHB72735,2013,H3N2,Human,VI11,12,1
AJM70889,2014,H3N2,Human,VI11,12,1
AJM70891,2014,H3N2,Human,VI11,12,1
AJM70893,2014,H3N2,Human,VI11,12,1
AJM70894,2014,H3N2,Human,VI11,12,1
AJM70901,2014,H3N2,Human,VI11,12,1
AHB72736,2013,H3N2,Human,VI11,12,1
AJM70904,2014,H3N2,Human,VI11,12,1
AJM70908,2014,H3N2,Human,VI11,12,1
AJM70909,2014,H3N2,Human,VI11,12,1
AJM70914,2014,H3N2,Human,VI11,12,1
AJM70915,2014,H3N2,Human,VI11,12,1
AJM70917,2014,H3N2,Human,VI11,12,1
AGK63035,2012,H3N2,Human,VI11,12,1
AGK62993,2012,H3N2,Human,VI11,12,1
AGK63019,2012,H3N2,Human,VI11,12,1
APC57889,1968,H3N2,Human,HK68,0,0
ARI68337,2014,H3N2,Human,VI11,12,1
QDP69605,2007,H3N2,Avian,FU02,10,1
QJI55093,2015,H3N2,Avian,SW13,13,1
QJI55105,2015,H3N2,Avian,SW13,13,1
AFY06393,2007,H3N2,Avian,FU02,10,1
AGL58100,2004,H3N2,Avian,FU02,10,1
ACX55499,2006,H3N2,Avian,FU02,10,1
AHN96734,2013,H3N2,Avian,VI11,12,1
AHN96698,2013,H3N2,Avian,VI11,12,1
AHN97022,2013,H3N2,Avian,VI11,12,1
ADU20328,2008,H3N2,Avian,FU02,10,1
ALM05991,2012,H3N2,Human,VI11,12,1
AFG99061,1977,H3N2,Human,VI75,2,0
AFG72173,1992,H3N2,Human,BE89,6,0
AJK03537,2008,H3N2,Human,FU02,10,1
AJK02631,2010,H3N2,Human,PE09,11,1
AJK02269,2007,H3N2,Human,FU02,10,1
AJK01129,2007,H3N2,Human,FU02,10,1
AJK02742,2010,H3N2,Human,PE09,11,1
AJK03065,2010,H3N2,Human,PE09,11,1
AJK01489,2010,H3N2,Human,PE09,11,1
AJK03349,2010,H3N2,Human,PE09,11,1
AJK00497,2007,H3N2,Human,FU02,10,1
AJK03130,2007,H3N2,Human,FU02,10,1
AJK03143,2007,H3N2,Human,FU02,10,1
AJK02318,2007,H3N2,Human,FU02,10,1
AJK00588,2007,H3N2,Human,FU02,10,1
AJK00962,2007,H3N2,Human,FU02,10,1
AJK02290,2007,H3N2,Human,FU02,10,1
AJK01395,2007,H3N2,Human,FU02,10,1
AJK01260,2007,H3N2,Human,FU02,10,1
AJK00999,2009,H3N2,Human,PE09,11,1
ALH25477,2015,H3N2,Human,SW13,13,1
AGK74851,2011,H3N2,Human,PE09,11,1
AQW36562,2017,H3N2,Human,SW13,13,1
AQW36574,2017,H3N2,Human,SW13,13,1
QBP38245,2019,H3N2,Human,HK14,14,1
AGL07352,2011,H3N2,Human,PE09,11,1
AIE09823,2013,H3N2,Human,VI11,12,1
ACA33753,2007,H3N2,Human,FU02,10,1
ARB17738,2017,H3N2,Human,SW13,13,1
QBS19967,2019,H3N2,Human,HK14,14,1
ALH37593,2015,H3N2,Human,SW13,13,1
ACT67809,2009,H3N2,Human,PE09,11,1
AJK00809,2010,H3N2,Human,PE09,11,1
AGZ61669,2012,H3N2,Human,VI11,12,1
ALH37606,2015,H3N2,Human,SW13,13,1
ANM98559,2016,H3N2,Human,SW13,13,1
ARB17750,2017,H3N2,Human,SW13,13,1
QJD46746,2020,H3N2,Human,HK14,14,1
ACA33766,2007,H3N2,Human,FU02,10,1
AGK73616,2010,H3N2,Human,PE09,11,1
ARQ86451,2017,H3N2,Human,SW13,13,1
QCG83949,2019,H3N2,Human,HK14,14,1
ANM95173,2015,H3N2,Human,SW13,13,1
AXQ12436,2018,H3N2,Human,HK14,14,1
QDE06354,2019,H3N2,Human,HK14,14,1
AIE10076,2013,H3N2,Human,VI11,12,1
AIE10074,2013,H3N2,Human,VI11,12,1
ANM95197,2015,H3N2,Human,SW13,13,1
ASB15826,2017,H3N2,Human,SW13,13,1
QCG83981,2019,H3N2,Human,HK14,14,1
ARQ86798,2017,H3N2,Human,SW13,13,1
ARQ86810,2017,H3N2,Human,SW13,13,1
ANM95231,2015,H3N2,Human,SW13,13,1
ANM99015,2016,H3N2,Human,SW13,13,1
AXQ12460,2018,H3N2,Human,HK14,14,1
AWX41364,2014,H3N2,Human,VI11,12,1
AOZ85232,2016,H3N2,Human,SW13,13,1
ANE25568,2015,H3N2,Human,SW13,13,1
ASK82071,2017,H3N2,Human,SW13,13,1
ANM99075,2016,H3N2,Human,SW13,13,1
QDQ43724,2019,H3N2,Human,HK14,14,1
ASK82647,2017,H3N2,Human,SW13,13,1
AXV43962,2018,H3N2,Human,HK14,14,1
QEN96729,2019,H3N2,Human,HK14,14,1
QED94993,2019,H3N2,Human,HK14,14,1
AYN07999,2018,H3N2,Human,HK14,14,1
AGL09735,2013,H3N2,Human,VI11,12,1
ANM96921,2016,H3N2,Human,SW13,13,1
ASM91146,2017,H3N2,Human,SW13,13,1
QGQ58311,2019,H3N2,Human,HK14,14,1
ASM91225,2017,H3N2,Human,SW13,13,1
AXL27745,2018,H3N2,Human,HK14,14,1
ASM91299,2017,H3N2,Human,SW13,13,1
ASM91322,2017,H3N2,Human,SW13,13,1
QGQ58852,2019,H3N2,Human,HK14,14,1
ANM97923,2015,H3N2,Human,SW13,13,1
ANM97935,2015,H3N2,Human,SW13,13,1
QGQ58888,2019,H3N2,Human,HK14,14,1
ALE31775,2014,H3N2,Human,VI11,12,1
AZS63714,2018,H3N2,Human,HK14,14,1
QFR38298,2018,H3N2,Human,HK14,14,1
ASW33112,2017,H3N2,Human,SW13,13,1
QBL91258,2018,H3N2,Human,HK14,14,1
ALN39664,2015,H3N2,Human,SW13,13,1
ATD51814,2017,H3N2,Human,SW13,13,1
QAB01667,2018,H3N2,Human,HK14,14,1
APF32049,2015,H3N2,Human,SW13,13,1
APF45876,2016,H3N2,Human,SW13,13,1
ANN02109,2016,H3N2,Human,SW13,13,1
APF46458,2016,H3N2,Human,SW13,13,1
ATP80519,2017,H3N2,Human,SW13,13,1
APG55938,2016,H3N2,Human,SW13,13,1
APG55940,2016,H3N2,Human,SW13,13,1
APG55943,2016,H3N2,Human,SW13,13,1
APG55946,2016,H3N2,Human,SW13,13,1
ANM98499,2015,H3N2,Human,SW13,13,1
APQ44568,2016,H3N2,Human,SW13,13,1
ANM98511,2015,H3N2,Human,SW13,13,1
ATX61197,2017,H3N2,Human,SW13,13,1
APQ44648,2016,H3N2,Human,SW13,13,1
APQ44650,2016,H3N2,Human,SW13,13,1
QIJ26005,2019,H3N2,Human,HK14,14,1
ASB34062,2016,H3N2,Human,SW13,13,1
AOT90778,2016,H3N2,Human,SW13,13,1
ANM98547,2015,H3N2,Human,SW13,13,1
AOT91258,2016,H3N2,Human,SW13,13,1
AUH29513,2017,H3N2,Human,SW13,13,1
ATD11138,2017,H3N2,Human,SW13,13,1
AUH29569,2017,H3N2,Human,SW13,13,1
AOT89519,2016,H3N2,Human,SW13,13,1
AUM85123,2017,H3N2,Human,SW13,13,1
AXP19275,2018,H3N2,Human,HK14,14,1
AUM62225,2016,H3N2,Human,SW13,13,1
AXX75331,2018,H3N2,Human,HK14,14,1
APC59441,2016,H3N2,Human,SW13,13,1
QAB04132,2018,H3N2,Human,HK14,14,1
QBA98326,2018,H3N2,Human,HK14,14,1
APW81201,2016,H3N2,Human,SW13,13,1
