Accession,Year,Subtype,Host,cluster_name,antigenic_distance,drift_binary_label
AGB13580,2011,H1N1,Human,pandemic-founding,1,0
AGB13590,2011,H1N1,Human,pandemic-founding,1,0
AGB13600,2011,H1N1,Human,pandemic-founding,1,0
AIX95169,2014,H1N1,Human,early-drift,2,1
AND61352,2015,H1N1,Human,immune-escape,3,1
ANH21815,2015,H1N1,Human,immune-escape,3,1
ANH21816,2015,H1N1,Human,immune-escape,3,1
ANH21808,2015,H1N1,Human,immune-escape,3,1
ANH21811,2015,H1N1,Human,immune-escape,3,1
ANH21817,2015,H1N1,Human,immune-escape,3,1
AND61373,2016,H1N1,Human,immune-escape,3,1
AND61377,2016,H1N1,Human,immune-escape,3,1
ADM14966,2009,H1N1,Human,pandemic-founding,1,0
ADM14975,2009,H1N1,Human,pandemic-founding,1,0
AHH25283,2012,H1N1,Human,early-drift,2,1
ADG21140,2009,H1N1,Human,pandemic-founding,1,0
ADG21142,2009,H1N1,Human,pandemic-founding,1,0
ADG21145,2009,H1N1,Human,pandemic-founding,1,0
ADG21158,2009,H1N1,Human,pandemic-founding,1,0
ADG21159,2009,H1N1,Human,pandemic-founding,1,0
APO40380,2015,H1N1,Human,immune-escape,3,1
ACX31945,2009,H1N1,Human,pandemic-founding,1,0
AGI54953,2010,H1N1,Human,pandemic-founding,1,0
AGI53225,2010,H1N1,Human,pandemic-founding,1,0
AGL04802,2012,H1N1,Human,early-drift,2,1
AKT08572,2014,H1N1,Human,early-drift,2,1
ACV67245,2009,H1N1,Human,pandemic-founding,1,0
AGI52862,2010,H1N1,Human,pandemic-founding,1,0
AGK73256,2011,H1N1,Human,pandemic-founding,1,0
AIM39760,2014,H1N1,Human,early-drift,2,1
AGI53913,2009,H1N1,Human,pandemic-founding,1,0
AGI53975,2010,H1N1,Human,pandemic-founding,1,0
AQW36931,2017,H1N1,Human,immune-escape,3,1
AGI53998,2010,H1N1,Human,pandemic-founding,1,0
ANM92119,2016,H1N1,Human,immune-escape,3,1
ANM92130,2016,H1N1,Human,immune-escape,3,1
AGQ16248,2013,H1N1,Human,early-drift,2,1
AHG96319,2013,H1N1,Human,early-drift,2,1
AHV83765,2013,H1N1,Human,early-drift,2,1
AIC73739,2014,H1N1,Human,early-drift,2,1
AIC73740,2014,H1N1,Human,early-drift,2,1
APF45875,2016,H1N1,Human,immune-escape,3,1
APF46400,2016,H1N1,Human,immune-escape,3,1
APF46401,2016,H1N1,Human,immune-escape,3,1
APG55935,2016,H1N1,Human,immune-escape,3,1
APQ44646,2016,H1N1,Human,immune-escape,3,1
APR73818,2016,H1N1,Human,immune-escape,3,1
ABV29766,2007,H1N1,Human,pre-pandemic,0,0
ABW86442,2007,H1N1,Human,pre-pandemic,0,0
AET84262,2009,H1N1,Human,pandemic-founding,1,0
ADM23841,2010,H1N1,Human,pandemic-founding,1,0
ADM23842,2010,H1N1,Human,pandemic-founding,1,0
ADM23844,2010,H1N1,Human,pandemic-founding,1,0
ADM23846,2010,H1N1,Human,pandemic-founding,1,0
ADM23847,2010,H1N1,Human,pandemic-founding,1,0
ADM23849,2010,H1N1,Human,pandemic-founding,1,0
ADM23850,2010,H1N1,Human,pandemic-founding,1,0
ACU44404,2009,H1N1,Human,pandemic-founding,1,0
AGI54259,2010,H1N1,Human,pandemic-founding,1,0
AGK73344,2011,H1N1,Human,pandemic-founding,1,0
AKT08161,2014,H1N1,Human,early-drift,2,1
ACT36649,2009,H1N1,Human,pandemic-founding,1,0
AIM39688,2014,H1N1,Human,early-drift,2,1
AGK72606,2011,H1N1,Human,pandemic-founding,1,0
AIM39724,2014,H1N1,Human,early-drift,2,1
AQZ37686,2017,H1N1,Human,immune-escape,3,1
AGK72683,2011,H1N1,Human,pandemic-founding,1,0
AGK72966,2011,H1N1,Human,pandemic-founding,1,0
ACA33790,2007,H1N1,Human,pre-pandemic,0,0
APC58388,2016,H1N1,Human,immune-escape,3,1
APC58399,2016,H1N1,Human,immune-escape,3,1
ABN59412,1935,H1N1,Human,pre-pandemic,0,0
AOT88438,2016,H1N1,Human,immune-escape,3,1
ANE26733,2015,H1N1,Human,immune-escape,3,1
AGI55382,2009,H1N1,Human,pandemic-founding,1,0
AKT08141,2013,H1N1,Human,early-drift,2,1
AHG96341,2013,H1N1,Human,early-drift,2,1
AHV83768,2013,H1N1,Human,early-drift,2,1
AHV83769,2013,H1N1,Human,early-drift,2,1
AGV29055,2012,H1N1,Human,early-drift,2,1
ALH26637,2014,H1N1,Human,early-drift,2,1
ALH26757,2014,H1N1,Human,early-drift,2,1
AGI55245,2009,H1N1,Human,pandemic-founding,1,0
AMB72136,2014,H1N1,Human,early-drift,2,1
AGI53691,2009,H1N1,Human,pandemic-founding,1,0
AGI52853,2009,H1N1,Human,pandemic-founding,1,0
AGI53442,2009,H1N1,Human,pandemic-founding,1,0
APG55936,2016,H1N1,Human,immune-escape,3,1
ABP49481,1951,H1N1,Human,pre-pandemic,0,0
ABQ44471,1951,H1N1,Human,pre-pandemic,0,0
ABQ01311,1951,H1N1,Human,pre-pandemic,0,0
ABP49448,1978,H1N1,Human,pre-pandemic,0,0
ABN59401,1948,H1N1,Human,pre-pandemic,0,0
ABP49316,1950,H1N1,Human,pre-pandemic,0,0
ABW36311,1979,H1N1,Human,pre-pandemic,0,0
AGW26989,2012,H1N1,Human,early-drift,2,1
AHB72750,2013,H1N1,Human,early-drift,2,1
AJY54064,2014,H1N1,Human,early-drift,2,1
AJY54066,2014,H1N1,Human,early-drift,2,1
AJY54027,2014,H1N1,Human,early-drift,2,1
AJY54029,2014,H1N1,Human,early-drift,2,1
AHK10719,2013,H1N1,Human,early-drift,2,1
AJY54030,2014,H1N1,Human,early-drift,2,1
AHK10720,2013,H1N1,Human,early-drift,2,1
AJY54031,2014,H1N1,Human,early-drift,2,1
AHK10721,2013,H1N1,Human,early-drift,2,1
AJY54025,2014,H1N1,Human,early-drift,2,1
AHK10723,2013,H1N1,Human,early-drift,2,1
AHK10724,2013,H1N1,Human,early-drift,2,1
AHK10725,2013,H1N1,Human,early-drift,2,1
AHK10728,2013,H1N1,Human,early-drift,2,1
AHK10733,2013,H1N1,Human,early-drift,2,1
AGJ73351,2011,H1N1,Human,pandemic-founding,1,0
AGJ73367,2011,H1N1,Human,pandemic-founding,1,0
AGJ73335,2011,H1N1,Human,pandemic-founding,1,0
ACU56931,2009,H1N1,Human,pandemic-founding,1,0
ACR46987,2009,H1N1,Human,pandemic-founding,1,0
AIX95154,2014,H1N1,Human,early-drift,2,1
AGG82775,2010,H1N1,Avian,pandemic-founding,1,0
AGG82811,2010,H1N1,Avian,pandemic-founding,1,0
AGG82823,2010,H1N1,Avian,pandemic-founding,1,0
AGG83039,2010,H1N1,Avian,pandemic-founding,1,0
AFY07133,2007,H1N1,Avian,pre-pandemic,0,0
AHL82039,2011,H1N1,Avian,pandemic-founding,1,0
AOK93278,2009,H1N1,Avian,pandemic-founding,1,0
AOK93230,2009,H1N1,Avian,pandemic-founding,1,0
AOK93218,2009,H1N1,Avian,pandemic-founding,1,0
AGE08146,2011,H1N1,Avian,pandemic-founding,1,0
AQU12083,2015,H1N1,Avian,immune-escape,3,1
APQ31863,2015,H1N1,Avian,immune-escape,3,1
AGE01011,2010,H1N1,Avian,pandemic-founding,1,0
AHZ44189,2012,H1N1,Avian,early-drift,2,1
AEM75922,2009,H1N1,Avian,pandemic-founding,1,0
ADM14467,2009,H1N1,Human,pandemic-founding,1,0
ADM14664,2009,H1N1,Human,pandemic-founding,1,0
ADM32949,2009,H1N1,Human,pandemic-founding,1,0
AEM92508,2010,H1N1,Human,pandemic-founding,1,0
CAY39403,2007,H1N1,Avian,pre-pandemic,0,0
CAY39402,2007,H1N1,Avian,pre-pandemic,0,0
ACT83737,2009,H1N1,Human,pandemic-founding,1,0
ADC32435,2010,H1N1,Human,pandemic-founding,1,0
ACT83738,2009,H1N1,Human,pandemic-founding,1,0
ACT83739,2009,H1N1,Human,pandemic-founding,1,0
ADC32409,2009,H1N1,Human,pandemic-founding,1,0
ADC32410,2009,H1N1,Human,pandemic-founding,1,0
ADC32411,2009,H1N1,Human,pandemic-founding,1,0
ADC32417,2009,H1N1,Human,pandemic-founding,1,0
ADC32419,2009,H1N1,Human,pandemic-founding,1,0
ADC32422,2009,H1N1,Human,pandemic-founding,1,0
ADC32423,2009,H1N1,Human,pandemic-founding,1,0
AJK03632,2008,H1N1,Human,pre-pandemic,0,0
AFM78646,2010,H1N1,Human,pandemic-founding,1,0
AEO08998,2010,H1N1,Human,pandemic-founding,1,0
ADB03603,2009,H1N1,Human,pandemic-founding,1,0
AGB08404,2010,H1N1,Human,pandemic-founding,1,0
AND61356,2015,H1N1,Human,immune-escape,3,1
AND61357,2015,H1N1,Human,immune-escape,3,1
ADB03605,2009,H1N1,Human,pandemic-founding,1,0
ADB03612,2009,H1N1,Human,pandemic-founding,1,0
ADB03613,2009,H1N1,Human,pandemic-founding,1,0
ADB03620,2009,H1N1,Human,pandemic-founding,1,0
ADB03621,2009,H1N1,Human,pandemic-founding,1,0
ADB03628,2009,H1N1,Human,pandemic-founding,1,0
ADB03629,2009,H1N1,Human,pandemic-founding,1,0
ADB03630,2009,H1N1,Human,pandemic-founding,1,0
ADB03631,2009,H1N1,Human,pandemic-founding,1,0
ADM14709,2009,H1N1,Human,pandemic-founding,1,0
ADM32977,2009,H1N1,Human,pandemic-founding,1,0
ADM32986,2009,H1N1,Human,pandemic-founding,1,0
ADM32995,2009,H1N1,Human,pandemic-founding,1,0
ADK32637,2009,H1N1,Human,pandemic-founding,1,0
AJK02208,2008,H1N1,Human,pre-pandemic,0,0
AGJ73331,2011,H1N1,Human,pandemic-founding,1,0
ADX97028,2009,H1N1,Human,pandemic-founding,1,0
ADJ00506,2009,H1N1,Human,pandemic-founding,1,0
ADJ00501,2009,H1N1,Human,pandemic-founding,1,0
AFB70140,2009,H1N1,Human,pandemic-founding,1,0
AFB70154,2009,H1N1,Human,pandemic-founding,1,0
AJK01086,2008,H1N1,Human,pre-pandemic,0,0
AJK02266,2008,H1N1,Human,pre-pandemic,0,0
AFB70167,2009,H1N1,Human,pandemic-founding,1,0
AFB70187,2009,H1N1,Human,pandemic-founding,1,0
AFB70237,2009,H1N1,Human,pandemic-founding,1,0
AFB70247,2009,H1N1,Human,pandemic-founding,1,0
AFB70257,2009,H1N1,Human,pandemic-founding,1,0
AFB70267,2009,H1N1,Human,pandemic-founding,1,0
AFB70277,2009,H1N1,Human,pandemic-founding,1,0
AFB70347,2009,H1N1,Human,pandemic-founding,1,0
ADU59558,2010,H1N1,Human,pandemic-founding,1,0
ADA83591,2009,H1N1,Human,pandemic-founding,1,0
ADA83595,2009,H1N1,Human,pandemic-founding,1,0
ADA83615,2009,H1N1,Human,pandemic-founding,1,0
ADA83622,2009,H1N1,Human,pandemic-founding,1,0
ADA83664,2009,H1N1,Human,pandemic-founding,1,0
ADA83668,2009,H1N1,Human,pandemic-founding,1,0
AGI54067,2010,H1N1,Human,pandemic-founding,1,0
AGK72772,2011,H1N1,Human,pandemic-founding,1,0
AGV28935,2013,H1N1,Human,early-drift,2,1
AKT08100,2014,H1N1,Human,early-drift,2,1
ACR49282,2009,H1N1,Human,pandemic-founding,1,0
AGI53212,2010,H1N1,Human,pandemic-founding,1,0
AOT92117,2016,H1N1,Human,immune-escape,3,1
ACB11784,2007,H1N1,Human,pre-pandemic,0,0
AGI52607,2010,H1N1,Human,pandemic-founding,1,0
AGI52823,2010,H1N1,Human,pandemic-founding,1,0
ACR67188,2009,H1N1,Human,pandemic-founding,1,0
AKT08208,2013,H1N1,Human,early-drift,2,1
ANM90315,2016,H1N1,Human,immune-escape,3,1
ACA33780,2007,H1N1,Human,pre-pandemic,0,0
AGI52551,2010,H1N1,Human,pandemic-founding,1,0
AQW37515,2017,H1N1,Human,immune-escape,3,1
AGI55464,2010,H1N1,Human,pandemic-founding,1,0
ACU44361,2009,H1N1,Human,pandemic-founding,1,0
AKT08307,2013,H1N1,Human,early-drift,2,1
ACH82079,2007,H1N1,Human,pre-pandemic,0,0
ACM51248,2008,H1N1,Human,pre-pandemic,0,0
ANM87567,2016,H1N1,Human,immune-escape,3,1
ABN59423,1978,H1N1,Human,pre-pandemic,0,0
ACH82080,2007,H1N1,Human,pre-pandemic,0,0
AGI54455,2009,H1N1,Human,pandemic-founding,1,0
AGI54651,2009,H1N1,Human,pandemic-founding,1,0
AGI54532,2009,H1N1,Human,pandemic-founding,1,0
AGI53764,2009,H1N1,Human,pandemic-founding,1,0
AMA11366,2015,H1N1,Human,immune-escape,3,1
AGF44889,2012,H1N1,Human,early-drift,2,1
ANE27371,2015,H1N1,Human,immune-escape,3,1
AHV83770,2013,H1N1,Human,early-drift,2,1
AHV83771,2014,H1N1,Human,early-drift,2,1
AIC73744,2014,H1N1,Human,early-drift,2,1
ANE27513,2015,H1N1,Human,immune-escape,3,1
ANE27327,2015,H1N1,Human,immune-escape,3,1
APF45877,2016,H1N1,Human,immune-escape,3,1
APG55939,2016,H1N1,Human,immune-escape,3,1
APG56023,2016,H1N1,Human,immune-escape,3,1
APR73821,2016,H1N1,Human,immune-escape,3,1
AOT87360,2016,H1N1,Human,immune-escape,3,1
AOT93448,2016,H1N1,Human,immune-escape,3,1
AOT93437,2016,H1N1,Human,immune-escape,3,1
APO20401,2016,H1N1,Human,immune-escape,3,1
AQS98173,2016,H1N1,Human,immune-escape,3,1
AGF37807,2012,H1N1,Human,early-drift,2,1
AGF68938,2012,H1N1,Human,early-drift,2,1
AGF37808,2012,H1N1,Human,early-drift,2,1
AHK10799,2012,H1N1,Human,early-drift,2,1
AGF68939,2012,H1N1,Human,early-drift,2,1
AGF68933,2012,H1N1,Human,early-drift,2,1
AGO17791,2012,H1N1,Human,early-drift,2,1
ABW23343,2007,H1N1,Human,pre-pandemic,0,0
ANE28493,2016,H1N1,Human,immune-escape,3,1
AGK73332,2011,H1N1,Human,pandemic-founding,1,0
ANM88016,2016,H1N1,Human,immune-escape,3,1
AQS20864,2017,H1N1,Human,immune-escape,3,1
AGI54864,2009,H1N1,Human,pandemic-founding,1,0
AGI55237,2009,H1N1,Human,pandemic-founding,1,0
AGI55388,2009,H1N1,Human,pandemic-founding,1,0
AMA11552,2015,H1N1,Human,immune-escape,3,1
ANM94715,2016,H1N1,Human,immune-escape,3,1
AKT08353,2013,H1N1,Human,early-drift,2,1
AKT08152,2013,H1N1,Human,early-drift,2,1
AHG96323,2013,H1N1,Human,early-drift,2,1
AHG96330,2013,H1N1,Human,early-drift,2,1
ADL39467,2009,H1N1,Human,pandemic-founding,1,0
AOO54000,2016,H1N1,Human,immune-escape,3,1
ADG59702,2009,H1N1,Human,pandemic-founding,1,0
ADM14516,2009,H1N1,Human,pandemic-founding,1,0
AJE62461,2010,H1N1,Human,pandemic-founding,1,0
AEN79398,2009,H1N1,Human,pandemic-founding,1,0
ALX27942,2009,H1N1,Human,pandemic-founding,1,0
ALX27943,2010,H1N1,Human,pandemic-founding,1,0
ALX27944,2010,H1N1,Human,pandemic-founding,1,0
ALX27946,2015,H1N1,Human,immune-escape,3,1
ADB89151,2009,H1N1,Human,pandemic-founding,1,0
AEE00200,2009,H1N1,Human,pandemic-founding,1,0
AGM53854,2013,H1N1,Human,early-drift,2,1
AGM53855,2013,H1N1,Human,early-drift,2,1
AGM53856,2013,H1N1,Human,early-drift,2,1
AHA38563,2013,H1N1,Human,early-drift,2,1
ADH01938,2009,H1N1,Human,pandemic-founding,1,0
ADG42173,2009,H1N1,Human,pandemic-founding,1,0
ADG42183,2009,H1N1,Human,pandemic-founding,1,0
ADG42203,2009,H1N1,Human,pandemic-founding,1,0
ADH01998,2009,H1N1,Human,pandemic-founding,1,0
ADH02008,2009,H1N1,Human,pandemic-founding,1,0
ADG42333,2009,H1N1,Human,pandemic-founding,1,0
ADG42343,2009,H1N1,Human,pandemic-founding,1,0
ADH02018,2009,H1N1,Human,pandemic-founding,1,0
ADG42353,2009,H1N1,Human,pandemic-founding,1,0
ADG42373,2009,H1N1,Human,pandemic-founding,1,0
ADG42383,2009,H1N1,Human,pandemic-founding,1,0
ADG42393,2009,H1N1,Human,pandemic-founding,1,0
ADG42433,2009,H1N1,Human,pandemic-founding,1,0
ADX98785,2009,H1N1,Human,pandemic-founding,1,0
ADK33871,2009,H1N1,Human,pandemic-founding,1,0
ADK33881,2009,H1N1,Human,pandemic-founding,1,0
ADK33891,2009,H1N1,Human,pandemic-founding,1,0
ADK33921,2009,H1N1,Human,pandemic-founding,1,0
ADK33931,2009,H1N1,Human,pandemic-founding,1,0
ADK33941,2009,H1N1,Human,pandemic-founding,1,0
ADM52453,2009,H1N1,Human,pandemic-founding,1,0
ADK21833,2009,H1N1,Human,pandemic-founding,1,0
ADM31698,2009,H1N1,Human,pandemic-founding,1,0
ADM31718,2009,H1N1,Human,pandemic-founding,1,0
ADM31728,2009,H1N1,Human,pandemic-founding,1,0
ADM31748,2009,H1N1,Human,pandemic-founding,1,0
ADM31758,2009,H1N1,Human,pandemic-founding,1,0
ADM31768,2009,H1N1,Human,pandemic-founding,1,0
ADM31808,2009,H1N1,Human,pandemic-founding,1,0
ADM31828,2009,H1N1,Human,pandemic-founding,1,0
ADL32504,2009,H1N1,Human,pandemic-founding,1,0
ADM13051,2009,H1N1,Human,pandemic-founding,1,0
ADM13061,2010,H1N1,Human,pandemic-founding,1,0
ADO00730,2010,H1N1,Human,pandemic-founding,1,0
ADM13081,2010,H1N1,Human,pandemic-founding,1,0
ADM13111,2010,H1N1,Human,pandemic-founding,1,0
AHM98898,2011,H1N1,Human,pandemic-founding,1,0
ADM13251,2010,H1N1,Human,pandemic-founding,1,0
ADM13261,2010,H1N1,Human,pandemic-founding,1,0
ADM13271,2010,H1N1,Human,pandemic-founding,1,0
AGB13270,2011,H1N1,Human,pandemic-founding,1,0
AGB13280,2011,H1N1,Human,pandemic-founding,1,0
AGB13290,2011,H1N1,Human,pandemic-founding,1,0
AGB13310,2010,H1N1,Human,pandemic-founding,1,0
AGB13006,2011,H1N1,Human,pandemic-founding,1,0
AGB13320,2011,H1N1,Human,pandemic-founding,1,0
AGB13330,2011,H1N1,Human,pandemic-founding,1,0
AGB13016,2011,H1N1,Human,pandemic-founding,1,0
AGB13036,2011,H1N1,Human,pandemic-founding,1,0
AGB13048,2011,H1N1,Human,pandemic-founding,1,0
AGB13350,2011,H1N1,Human,pandemic-founding,1,0
ADM33204,2009,H1N1,Human,pandemic-founding,1,0
ACR40630,2009,H1N1,Human,pandemic-founding,1,0
ACR08500,2009,H1N1,Human,pandemic-founding,1,0
ACR01021,2009,H1N1,Human,pandemic-founding,1,0
ABR15885,2000,H1N1,Human,pre-pandemic,0,0
AJK03441,2000,H1N1,Human,pre-pandemic,0,0
ABR15907,2000,H1N1,Human,pre-pandemic,0,0
ABU80298,2000,H1N1,Human,pre-pandemic,0,0
AJK02562,2000,H1N1,Human,pre-pandemic,0,0
ABS49987,2000,H1N1,Human,pre-pandemic,0,0
ABR28834,2001,H1N1,Human,pre-pandemic,0,0
AJK01278,2001,H1N1,Human,pre-pandemic,0,0
ABR28900,2005,H1N1,Human,pre-pandemic,0,0
ADD21864,2009,H1N1,Human,pandemic-founding,1,0
ADD24004,2009,H1N1,Human,pandemic-founding,1,0
ADD22491,2009,H1N1,Human,pandemic-founding,1,0
ADD22501,2009,H1N1,Human,pandemic-founding,1,0
ADD22521,2009,H1N1,Human,pandemic-founding,1,0
AOG30049,2010,H1N1,Human,pandemic-founding,1,0
AOG29993,2010,H1N1,Human,pandemic-founding,1,0
ADD22541,2009,H1N1,Human,pandemic-founding,1,0
ADD22574,2009,H1N1,Human,pandemic-founding,1,0
ADD22645,2009,H1N1,Human,pandemic-founding,1,0
ADD22655,2009,H1N1,Human,pandemic-founding,1,0
ADD22722,2009,H1N1,Human,pandemic-founding,1,0
ADD22742,2009,H1N1,Human,pandemic-founding,1,0
ADD22762,2009,H1N1,Human,pandemic-founding,1,0
ADD22792,2009,H1N1,Human,pandemic-founding,1,0
ADD22822,2009,H1N1,Human,pandemic-founding,1,0
ADB89711,2009,H1N1,Human,pandemic-founding,1,0
ADD22852,2009,H1N1,Human,pandemic-founding,1,0
ADD22921,2009,H1N1,Human,pandemic-founding,1,0
ADD22931,2009,H1N1,Human,pandemic-founding,1,0
ADD21874,2009,H1N1,Human,pandemic-founding,1,0
ADD23092,2009,H1N1,Human,pandemic-founding,1,0
ADD23102,2009,H1N1,Human,pandemic-founding,1,0
ADD21884,2009,H1N1,Human,pandemic-founding,1,0
AEM63501,2010,H1N1,Human,pandemic-founding,1,0
ADG23217,2005,H1N1,Human,pre-pandemic,0,0
ADG23218,2006,H1N1,Human,pre-pandemic,0,0
ADG23220,2006,H1N1,Human,pre-pandemic,0,0
ADG23221,2006,H1N1,Human,pre-pandemic,0,0
ADG23222,2006,H1N1,Human,pre-pandemic,0,0
AGQ47740,1935,H1N1,Human,pre-pandemic,0,0
APO40383,2016,H1N1,Human,immune-escape,3,1
ACI32728,2006,H1N1,Human,pre-pandemic,0,0
ADE75388,2009,H1N1,Human,pandemic-founding,1,0
ADM23851,2010,H1N1,Human,pandemic-founding,1,0
ADM23852,2010,H1N1,Human,pandemic-founding,1,0
ADG21161,2009,H1N1,Human,pandemic-founding,1,0
ADG21162,2009,H1N1,Human,pandemic-founding,1,0
ADG21164,2009,H1N1,Human,pandemic-founding,1,0
ADT91182,2010,H1N1,Human,pandemic-founding,1,0
AKM14712,2009,H1N1,Human,pandemic-founding,1,0
AKM14713,2009,H1N1,Human,pandemic-founding,1,0
AKM14714,2009,H1N1,Human,pandemic-founding,1,0
AKM14739,2012,H1N1,Human,early-drift,2,1
AKM14715,2009,H1N1,Human,pandemic-founding,1,0
AKM14716,2009,H1N1,Human,pandemic-founding,1,0
AKM14740,2012,H1N1,Human,early-drift,2,1
AKM14741,2012,H1N1,Human,early-drift,2,1
AKM14734,2011,H1N1,Human,pandemic-founding,1,0
AKM14735,2011,H1N1,Human,pandemic-founding,1,0
AKM14742,2012,H1N1,Human,early-drift,2,1
AKM14743,2012,H1N1,Human,early-drift,2,1
AKM14744,2012,H1N1,Human,early-drift,2,1
AKM14745,2012,H1N1,Human,early-drift,2,1
AKM14736,2011,H1N1,Human,pandemic-founding,1,0
AKM14746,2012,H1N1,Human,early-drift,2,1
AKM14747,2012,H1N1,Human,early-drift,2,1
AKM14702,2009,H1N1,Human,pandemic-founding,1,0
AKM14749,2012,H1N1,Human,early-drift,2,1
AKM14718,2010,H1N1,Human,pandemic-founding,1,0
AKM14719,2010,H1N1,Human,pandemic-founding,1,0
AKM14720,2010,H1N1,Human,pandemic-founding,1,0
AKM14722,2010,H1N1,Human,pandemic-founding,1,0
AKM14723,2010,H1N1,Human,pandemic-founding,1,0
AKM14724,2010,H1N1,Human,pandemic-founding,1,0
AKM14726,2010,H1N1,Human,pandemic-founding,1,0
AKM14727,2010,H1N1,Human,pandemic-founding,1,0
AKM14729,2010,H1N1,Human,pandemic-founding,1,0
AKM14737,2012,H1N1,Human,early-drift,2,1
AKM14704,2009,H1N1,Human,pandemic-founding,1,0
AKM14738,2012,H1N1,Human,early-drift,2,1
AKM14706,2009,H1N1,Human,pandemic-founding,1,0
AFO65038,2000,H1N1,Human,pre-pandemic,0,0
AHM98778,2012,H1N1,Human,early-drift,2,1
ADM13301,2010,H1N1,Human,pandemic-founding,1,0
ADM13311,2010,H1N1,Human,pandemic-founding,1,0
ADM13331,2010,H1N1,Human,pandemic-founding,1,0
AEL89601,2010,H1N1,Human,pandemic-founding,1,0
AEL89621,2010,H1N1,Human,pandemic-founding,1,0
AEL89641,2010,H1N1,Human,pandemic-founding,1,0
AEL89651,2010,H1N1,Human,pandemic-founding,1,0
AEN55418,2010,H1N1,Human,pandemic-founding,1,0
AEN55473,2010,H1N1,Human,pandemic-founding,1,0
AEL89671,2010,H1N1,Human,pandemic-founding,1,0
AEN55493,2010,H1N1,Human,pandemic-founding,1,0
AEL89681,2010,H1N1,Human,pandemic-founding,1,0
AEL89741,2010,H1N1,Human,pandemic-founding,1,0
AEL89801,2010,H1N1,Human,pandemic-founding,1,0
AEL89812,2010,H1N1,Human,pandemic-founding,1,0
AEN55513,2010,H1N1,Human,pandemic-founding,1,0
AEL89842,2010,H1N1,Human,pandemic-founding,1,0
AEL95426,2010,H1N1,Human,pandemic-founding,1,0
AEL93588,2010,H1N1,Human,pandemic-founding,1,0
AEO72176,2010,H1N1,Human,pandemic-founding,1,0
AGB13430,2010,H1N1,Human,pandemic-founding,1,0
AIE52359,2009,H1N1,Human,pandemic-founding,1,0
AIE52361,2010,H1N1,Human,pandemic-founding,1,0
AIE52366,2010,H1N1,Human,pandemic-founding,1,0
AJK01191,2007,H1N1,Human,pre-pandemic,0,0
